Streams;Buffer;Seconds;MiB/s;Speedup (best CPU);Speedup (GPU 1,1)
1;1;3,77102;7637,2;61,7591;1
2;1;3,14893;9145,96;73,9599;1,19755
3;1;2,86003;10069,8;81,4308;1,31856
5;1;2,57735;11174,3;90,3622;1,46314
7;1;2,59739;11088;89,6648;1,45185
16;1;2,29508;12548,6;101,476;1,64309
32;1;2,64675;10881,3;87,9928;1,42477
2;2;2,4128;11936,3;96,5246;1,56292
4;2;2,30159;12513,1;101,189;1,63844
6;2;2,20171;13080,7;105,779;1,71277
8;2;2,16837;13281,8;107,405;1,7391
10;2;2,19508;13120,3;106,099;1,71794
16;2;2,1501;13394,7;108,318;1,75388
1;4;2,49779;11530,2;93,2403;1,50974
4;4;2,49779;11530,2;93,2403;1,50974
8;4;2,18977;13152,1;106,356;1,72212
1;6;2,38017;12100;97,8481;1,58435
2;6;2,2166;12992,9;105,068;1,70126
4;6;2,11343;13627,2;110,198;1,78431
6;6;2,09605;13740,1;111,111;1,7991
1;8;2,31334;12449,5;100,675;1,63012
2;8;2,2166;12992,9;105,069;1,70126
4;8;2,17352;13250,4;107,151;1,73498
1;12;2,5505;11291,9;91,3133;1,47854
2;12;2,14197;13445,6;108,729;1,76054
3;13;2,16246;13318,2;107,699;1,74386
1;16;2,19499;13120,8;106,103;1,71801
2;16;2,18078;13206,3;106,794;1,7292
2;20;2,09256;13763,1;111,297;1,80211
1;32;2,09505;13746,7;111,164;1,79996
1;40;2,11163;13638,8;110,291;1,78583
