batch_size;task_count;execution_time;MiBs
1;1;2466,17;11,678
1;2;647,611;44,4712
1;4;240,791;119,606
1;8;236,838;121,602
1;16;234,349;122,894
1;50;233,46;123,361
1;100;232,895;123,661
1;200;232,971;123,621
1;400;233,573;123,302
1;600;233,545;123,317
2;2;645,148;44,6409
2;4;242,212;118,904
2;8;242,696;118,667
2;16;235,661;122,21
2;50;233,956;123,1
2;100;233,986;123,084
2;200;234,033;123,06
2;400;233,97;123,093
2;600;234,163;122,991
8;8;236,453;121,8
8;16;234,582;122,772
8;50;233,508;123,336
8;100;676,398;42,5785
8;200;241,649;119,181
8;400;238,711;120,648
8;600;238,209;120,902
